avgR,avgG,avgB,varR,varG,varB,label
6.647272e+01,9.332568e+01,9.160663e+01,4.364194e+01,3.210860e+01,3.237862e+01,0
4.318846e+01,9.155193e+01,1.226346e+02,3.696625e+01,3.225054e+01,3.987399e+01,0
8.803963e+01,1.091084e+02,1.238733e+02,1.458860e+01,1.503686e+01,2.822902e+01,0
6.460899e+01,8.947626e+01,1.149126e+02,3.558937e+01,3.530532e+01,4.223303e+01,0
1.580757e+02,1.862918e+02,2.145722e+02,3.479558e+01,3.530566e+01,4.102216e+01,0
1.447752e+02,8.713197e+01,1.455367e+01,8.394044e+01,7.888690e+01,2.336370e+01,0
1.049933e+02,1.457715e+02,1.975060e+02,5.192718e+01,5.159442e+01,7.256391e+01,0
1.480647e+02,7.952296e+01,5.850389e+01,6.837963e+01,2.589373e+01,1.424033e+01,0
4.726218e+01,9.109004e+01,1.095965e+02,4.739942e+01,3.863165e+01,1.952582e+01,0
7.726585e+01,9.570021e+01,1.156059e+02,3.883959e+01,3.285344e+01,2.987138e+01,0
9.698013e+01,1.385180e+02,1.852632e+02,4.411569e+01,3.013584e+01,3.528070e+01,0
8.760999e+01,1.072354e+02,1.188645e+02,3.896378e+01,3.380895e+01,5.721027e+01,0
9.038971e+01,9.778612e+01,9.975887e+01,5.773504e+01,4.383086e+01,4.523921e+01,0
1.116681e+02,1.499617e+02,1.641323e+02,9.995354e+01,8.263398e+01,8.054841e+01,0
1.014836e+02,1.309857e+02,1.527326e+02,5.556362e+01,5.738270e+01,6.531139e+01,0
6.003156e+01,8.331888e+01,1.077769e+02,4.800374e+01,3.631446e+01,4.331775e+01,0
6.915691e+01,1.035980e+02,1.560880e+02,3.694613e+01,2.953346e+01,2.697714e+01,0
1.001548e+02,1.272526e+02,1.630567e+02,2.883155e+01,3.310883e+01,2.979927e+01,0
1.051128e+02,1.001105e+02,1.068587e+02,2.122311e+01,1.826798e+01,3.436617e+01,0
1.213049e+02,1.678117e+02,2.288269e+02,2.311488e+01,3.012913e+01,4.947596e+01,0
1.124955e+02,1.188145e+02,1.418472e+02,4.274890e+01,3.780919e+01,3.589693e+01,0
1.245345e+02,1.593338e+02,1.841310e+02,6.479151e+01,4.323149e+01,4.755491e+01,0
9.442502e+01,1.057601e+02,1.236129e+02,4.850855e+01,3.397320e+01,4.356268e+01,0
1.047097e+02,1.258543e+02,1.423086e+02,6.977212e+01,7.103413e+01,7.648594e+01,0
9.920685e+01,1.430493e+02,1.457550e+02,3.991827e+01,4.926588e+01,5.634173e+01,0
6.785841e+01,1.037471e+02,1.128564e+02,2.920451e+01,2.880791e+01,5.262340e+01,0
8.766893e+01,1.147639e+02,1.287399e+02,6.697963e+01,5.312724e+01,4.697109e+01,0
1.869617e+02,1.910282e+02,1.972800e+02,5.759706e+01,5.594365e+01,5.232859e+01,0
1.558579e+02,1.666762e+02,1.729499e+02,6.532041e+01,5.411192e+01,6.888961e+01,0
8.519914e+01,1.009035e+02,1.056857e+02,3.883042e+01,3.100904e+01,2.660444e+01,0
1.123614e+02,9.586124e+01,1.057017e+02,3.787298e+01,1.992005e+01,1.696043e+01,0
